Test Name,Pattern,Postgres SQL,Hyper DB SQL
testAbsUsesExp,D,"ABS(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(40,20)))","ABS(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(38,18)))"
testAddBigTimeValueWithValidInValid,C,"MOD(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000+ROUND(MOD(CAST(93600000 AS NUMERIC), 86400000))+86400000,86400000)","MOD(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000+ROUND(MOD(CAST(93600000 AS NUMERIC), 86400000))+86400000,86400000)"
testAddDate,A+B,"($!s0s!$.customdate1__c+pg_catalog.make_interval(0,0,0,0,0,0,TRUNC(COALESCE($!s0s!$.customnumber1__c, 0))*86400.0))::timestamp(0)","($!s0s!$.customdate1__c+(INTERVAL '1 second'*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0))*86400.0))::timestamp"
testAddDateTime,A+B,"($!s0s!$.customdatetime1__c+pg_catalog.make_interval(0,0,0,0,0,0,COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp(0)","($!s0s!$.customdatetime1__c+(INTERVAL '1 second'*COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp"
testAddDateTimeGivingDate,A+B,"($!s0s!$.customdatetime1__c+pg_catalog.make_interval(0,0,0,0,0,0,COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp(0)","($!s0s!$.customdatetime1__c+(INTERVAL '1 second'*COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp"
testAddDateTimeGivingDateValue,A+B,"DATE_TRUNC('DAY', (($!s0s!$.customdatetime1__c+pg_catalog.make_interval(0,0,0,0,0,0,COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp(0) AT TIME ZONE 'UTC') AT TIME ZONE '__TZ_ID__')::timestamp","DATE_TRUNC('DAY', (($!s0s!$.customdatetime1__c+(INTERVAL '1 second'*COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp AT TIME ZONE 'UTC') AT TIME ZONE '__TZ_ID__')::timestamp"
testAddDateTimeMinutes,A+B,"($!s0s!$.customdatetime1__c+pg_catalog.make_interval(0,0,0,0,0,0,(COALESCE($!s0s!$.customnumber1__c, 0)/1440)*86400.0))::timestamp(0)","($!s0s!$.customdatetime1__c+(INTERVAL '1 second'*(COALESCE($!s0s!$.customnumber1__c, 0)/1440)*86400.0))::timestamp"
testAddDateTimeWithExpr,A+B,"(((($!s0s!$.customdatetime1__c+pg_catalog.make_interval(0,0,0,0,0,0,COALESCE(($!s0s!$.custompercent1__c / 100.0), 0)*86400.0))::timestamp(0)+pg_catalog.make_interval(0,0,0,0,0,0,COALESCE(($!s0s!$.custompercent2__c / 100.0), 0)*86400.0))::timestamp(0)+pg_catalog.make_interval(0,0,0,0,0,0,COALESCE(((EXTRACT(EPOCH FROM $!s0s!$.customdatetime2__c)-EXTRACT(EPOCH FROM $!s0s!$.customdatetime3__c))::numeric/86400), 0)*86400.0))::timestamp(0)+pg_catalog.make_interval(0,0,0,0,0,0,COALESCE(LENGTH($!s0s!$.customtext1__c),0)::numeric*86400.0))::timestamp(0)","(((($!s0s!$.customdatetime1__c+(INTERVAL '1 second'*COALESCE(($!s0s!$.custompercent1__c / 100.0), 0)*86400.0))::timestamp+(INTERVAL '1 second'*COALESCE(($!s0s!$.custompercent2__c / 100.0), 0)*86400.0))::timestamp+(INTERVAL '1 second'*COALESCE(((EXTRACT(EPOCH FROM $!s0s!$.customdatetime2__c)-EXTRACT(EPOCH FROM $!s0s!$.customdatetime3__c))::numeric/86400), 0)*86400.0))::timestamp+(INTERVAL '1 second'*COALESCE(LENGTH($!s0s!$.customtext1__c),0)::numeric*86400.0))::timestamp"
testAddDateWithExpr,A+B,"(((($!s0s!$.customdate1__c+pg_catalog.make_interval(0,0,0,0,0,0,TRUNC(COALESCE(($!s0s!$.custompercent1__c / 100.0), 0))*86400.0))::timestamp(0)+pg_catalog.make_interval(0,0,0,0,0,0,TRUNC(COALESCE($!s0s!$.customnumber1__c, 0))*86400.0))::timestamp(0)+pg_catalog.make_interval(0,0,0,0,0,0,TRUNC(COALESCE(((EXTRACT(EPOCH FROM $!s0s!$.customdate2__c)-EXTRACT(EPOCH FROM $!s0s!$.customdate3__c))::numeric/86400), 0))*86400.0))::timestamp(0)+pg_catalog.make_interval(0,0,0,0,0,0,TRUNC(COALESCE($!s0s!$.customcurrency1__c, 0))*86400.0))::timestamp(0)","(((($!s0s!$.customdate1__c+(INTERVAL '1 second'*TRUNC(COALESCE(($!s0s!$.custompercent1__c / 100.0), 0))*86400.0))::timestamp+(INTERVAL '1 second'*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0))*86400.0))::timestamp+(INTERVAL '1 second'*TRUNC(COALESCE(((EXTRACT(EPOCH FROM $!s0s!$.customdate2__c)-EXTRACT(EPOCH FROM $!s0s!$.customdate3__c))::numeric/86400), 0))*86400.0))::timestamp+(INTERVAL '1 second'*TRUNC(COALESCE($!s0s!$.customcurrency1__c, 0))*86400.0))::timestamp"
testAddHoursWithTwoCustFields,C,"MOD(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.timeString__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000+ROUND(MOD(CAST(COALESCE($!s0s!$.customnumber1__c, 0) AS NUMERIC), 86400000))+86400000,86400000)","MOD(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.timeString__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000+ROUND(MOD(CAST(COALESCE($!s0s!$.customnumber1__c, 0) AS NUMERIC), 86400000))+86400000,86400000)"
